,0,1,2
0,7383,41,1039
1,4809,52,888
2,6755,5,1010
3,3432,52,759
4,760,102,602
5,4571,48,893
6,3884,115,843
7,4127,115,873
8,5530,54,960
9,6762,48,1033
10,8472,74,1169
11,4813,115,927
12,511,27,610
13,4919,14,943
14,4754,52,936
15,6893,70,1058
16,2607,115,742
17,632,14,640
18,3697,29,866
19,2370,115,768
20,4123,115,933
