6220,115,968
5587,14,934
2235,29,669
524,64,572
2881,18,706
235,51,547
8755,27,1184
7306,34,1034
6850,91,1007
2605,68,694
906,14,599
1756,14,647
2392,3,681
8806,88,1195
7690,1,1055
8346,91,1117
8698,14,1169
7340,30,1035
754,68,594
4238,88,856
3727,123,800
2837,18,705
6106,29,963
5474,45,930
2993,113,714
4028,53,838
5874,18,952
5096,53,908
825,77,597
8074,133,1090
71,88,523
5024,27,905
5113,116,912
3840,58,820
6897,123,1007
5692,94,941
1059,57,611
1500,70,633
2584,131,688
5104,91,905
8236,17,1101
1870,125,650
1703,17,643
2699,109,697
3500,48,764
2709,35,699
8191,80,1095
7081,88,1023
855,17,598
2096,85,664
4586,102,873
4242,26,852
8183,40,1093
4210,122,853
1354,54,624
2197,64,667
7178,97,1025
3340,113,736
8681,123,1166
6935,92,1108
4604,39,976
3811,89,912
1150,45,711
5076,130,1005
1585,68,735
5202,68,1011
1081,91,708
967,27,705
8471,80,1233
3029,46,813
5241,122,1015
1509,115,730
112,35,629
4988,32,998
2249,32,770
5465,14,1028
4513,29,969
8193,88,1195
7458,107,1141
7226,3,1130
881,13,696
4270,91,956
4045,1,935
3396,102,841
4746,80,984
2926,45,807
3336,58,836
1632,5,738
7981,1,1176
654,13,682
2317,97,772
1347,123,723
8135,7,1192
8651,29,1259
2454,92,783
8740,10,1277
2679,50,795
1237,85,717
5739,88,1044
6481,122,1083
1063,34,708
105,88,627
2889,39,804
1503,109,729
3975,5,929
8627,35,1254
5006,107,1001
3933,7,925
8239,103,1202
6393,5,1080
3622,58,881
7287,45,1131
1933,75,754
1136,7,713
2856,88,805
6553,78,1088
657,1,683
8719,35,1274
8561,87,1245
3724,3,902
3250,30,828
4636,73,1077
150,88,737
5519,54,1131
7549,51,1248
7284,3,1234
1619,127,836
5862,131,1151
3091,127,917
684,10,789
8732,40,1375
2697,34,897
8799,38,1391
2902,5,904
987,18,805
6903,81,1211
2125,94,865
6830,97,1203
8310,5,1310
3711,50,1003
1471,13,830
1184,96,813
5290,80,1121
7680,26,1258
6792,123,1201
4056,45,1036
8029,128,1281
7176,91,1227
3075,14,917
2721,1,901
681,45,785
1807,16,849
519,7,776
8674,45,1363
3521,72,964
8665,30,1368
8204,1,1301
7154,5,1225
3324,63,936
3311,91,936
2240,51,869
5563,26,1133
6004,53,1157
8509,70,1340
7688,91,1255
3421,29,950
8302,59,1311
4648,81,1081
3407,91,948
3803,10,1014
3900,31,1029
3502,45,960
2014,29,862
6649,70,1198
4567,50,1079
6137,87,1164
4727,6,1089
1876,45,852
8211,115,1397
5914,54,1251
3458,101,1053
228,132,846
5046,14,1202
7979,70,1383
3823,115,1117
8362,27,1415
2332,107,975
8058,130,1382
8231,54,1397
542,27,873
5277,26,1215
4101,18,1141
8772,40,1487
3426,59,1047
5493,128,1232
1227,45,919
1385,88,923
7378,13,1335
1396,32,930
4626,62,1179
6783,92,1302
2015,14,961
2299,92,976
215,95,847
3356,70,1045
5958,122,1257
4417,45,1162
5660,70,1241
649,91,883
5025,49,1201
5570,13,1232
6246,14,1276
8717,54,1474
5900,35,1253
6637,97,1293
8652,91,1461
6100,103,1262
8073,31,1393
8472,53,1432
2136,26,965
7143,108,1327
5998,59,1261
1078,73,907
8714,17,1475
2498,18,984
1436,87,927
7402,16,1337
351,75,862
5320,24,1223
6327,91,1274
2674,7,997
6677,7,1294
696,71,884
5774,23,1251
3679,54,1090
6575,23,1389
3880,52,1220
8523,101,1541
7314,34,1438
5583,40,1338
7973,14,1477
7356,52,1439
5746,91,1343
7566,85,1447
8270,89,1508
5004,130,1305
5854,46,1348
550,91,974
4272,130,1259
4833,92,1290
6728,32,1398
323,50,957
7906,68,1469
5205,6,1316
6622,13,1393
8399,40,1526
709,52,990
4406,14,1270
6362,63,1378
2145,68,1066
1710,89,1047
3741,13,1204
5211,27,1314
6813,9,1409
3646,9,1192
5923,12,1356
5020,35,1301
2991,7,1111
324,109,954
4532,11,1270
6786,27,1405
6118,91,1371
7319,17,1435
4902,17,1295
766,89,995
3890,92,1220
4444,14,1274
1988,51,1059
4975,44,1301
8568,51,1545
7560,129,1447
429,70,974
1764,31,1044
7540,91,1446
3899,31,1222
688,59,1000
4169,70,1255
6900,42,1414
4876,54,1295
7288,84,1430
494,62,969
712,18,985
5595,91,1342
8607,80,1557
2251,30,1069
5030,130,1308
2527,91,1090
1206,48,1115
7548,64,1548
1473,54,1131
2013,89,1159
4032,56,1337
5966,91,1456
5174,5,1411
8303,54,1609
2334,101,1176
